"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"59","Bentleigh East",2,746000,"S","hockingstuart",2016-03-12,13.9,"3165",1,2,95,2002,-37.9255,145.0796,"Southern Metropolitan",10969,59,"25,928","Glen Eira",3,2016
"60","Brighton",2,536000,"SP","Hodges",2016-03-12,11.2,"3186",1,2,70,1970,-37.9081,145.0043,"Southern Metropolitan",10579,75,"21,267","Bayside",3,2016
"61","Brighton East",2,750000,"SP","Buxton",2016-03-12,10.7,"3187",1,3,76,1970,-37.9318,145.0293,"Southern Metropolitan",6938,63,"15,807","Bayside",3,2016
"62","Brighton East",2,7e+05,"PI","hockingstuart",2016-03-12,10.7,"3187",1,1,76,1970,-37.9195,145.0067,"Southern Metropolitan",6938,63,"15,807","Bayside",3,2016
"63","Brunswick West",2,320000,"PI","Nelson",2016-03-12,5.9,"3055",1,1,76,1980,-37.7514,144.9288,"Northern Metropolitan",7082,66,"13,171","Moreland",3,2016
"64","Burwood",3,1022500,"S","Ray",2016-03-12,11.7,"3125",2,2,130,2000,-37.8516,145.1056,"Southern Metropolitan",5678,59,"13,172","Whitehorse",3,2016
"65","Camberwell",2,1017000,"S","Jellis",2016-03-12,7.8,"3124",1,2,76,1940,-37.8231,145.0585,"Southern Metropolitan",8920,66,"20,022","Boroondara",3,2016
"66","Camberwell",2,729000,"S","Noel",2016-03-12,7.8,"3124",1,1,87,1970,-37.8459,145.088,"Southern Metropolitan",8920,66,"20,022","Boroondara",3,2016
"67","Carnegie",2,6e+05,"SP","Woodards",2016-03-12,11.4,"3163",1,1,61,1970,-37.897,145.0593,"Southern Metropolitan",7822,75,"16,333","Glen Eira",3,2016
"68","Caulfield South",1,275500,"PI","Gary",2016-03-12,9.3,"3162",1,1,44,1960,-37.8961,145.0132,"Southern Metropolitan",5051,70,"11,292","Glen Eira",3,2016
"69","Elwood",2,525000,"S","Other",2016-03-12,7.7,"3184",1,1,83,1960,-37.8802,144.9942,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"70","Elwood",1,392500,"SP","Biggin",2016-03-12,7.7,"3184",1,0,49,1960,-37.882,144.9785,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"71","Elwood",2,507000,"S","Other",2016-03-12,7.7,"3184",1,1,79,1970,-37.8752,144.9911,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"72","Elwood",2,750000,"S","Gary",2016-03-12,7.7,"3184",1,1,71,1930,-37.8791,144.9923,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"73","Elwood",1,510000,"S","Chisholm",2016-03-12,7.7,"3184",1,1,60,2001,-37.8857,144.9884,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"74","Elwood",2,599999,"S","Chisholm",2016-03-12,7.7,"3184",1,0,76,1960,-37.8808,144.9847,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"75","Elwood",1,3e+05,"S","hockingstuart",2016-03-12,7.7,"3184",1,0,33,1930,-37.8749,144.9842,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"76","Flemington",2,365000,"PI","Rendina",2016-03-12,4.4,"3031",1,1,60,1970,-37.7833,144.9255,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",3,2016
"77","Footscray",2,431000,"SP","Jas",2016-03-12,6.4,"3011",1,1,76,1972,-37.7963,144.8853,"Western Metropolitan",7570,78,"13,203","Maribyrnong",3,2016
"78","Hampton",2,802000,"SP","Buxton",2016-03-12,13.7,"3188",1,1,85,1965,-37.939,145.0137,"Southern Metropolitan",5454,69,"12,459","Bayside",3,2016
"79","Hawthorn",1,320000,"VB","Fletchers",2016-03-12,4.6,"3122",1,0,49,1970,-37.8235,145.0258,"Southern Metropolitan",11308,85,"21,138","Boroondara",3,2016
"80","Hawthorn",3,1189000,"S","Marshall",2016-03-12,4.6,"3122",1,1,122,1969,-37.8243,145.0328,"Southern Metropolitan",11308,85,"21,138","Boroondara",3,2016
"81","Hawthorn",1,348000,"S","Woodards",2016-03-12,4.6,"3122",1,1,53,1950,-37.8303,145.0341,"Southern Metropolitan",11308,85,"21,138","Boroondara",3,2016
"82","Heidelberg",2,546500,"S","Miles",2016-03-12,10.6,"3084",1,1,69,1972,-37.7519,145.0687,"Eastern Metropolitan",2890,64,"5,733","Banyule",3,2016
"83","Ivanhoe",1,460000,"SP","Miles",2016-03-12,7.9,"3079",1,0,49,1970,-37.7759,145.043,"Eastern Metropolitan",5549,71,"11,038","Banyule",3,2016
"84","Ivanhoe",2,430000,"VB","Miles",2016-03-12,7.9,"3079",1,1,76,1970,-37.7662,145.0516,"Eastern Metropolitan",5549,71,"11,038","Banyule",3,2016
"85","Kew",2,520000,"VB","Jellis",2016-03-12,5.6,"3101",1,1,12,1966,-37.804,145.0347,"Southern Metropolitan",10331,71,"23,871","Boroondara",3,2016
"86","Kew",2,562500,"S","Other",2016-03-12,5.6,"3101",2,1,76,1966,-37.8099,145.0606,"Southern Metropolitan",10331,71,"23,871","Boroondara",3,2016
"87","Other",3,480000,"PI","Darren",2016-03-12,12.4,"3083",2,1,110,2004,-37.7133,145.0374,"Northern Metropolitan",1414,59,"3,380","Darebin",3,2016
"88","Malvern East",3,980000,"S","Noel",2016-03-12,11.2,"3145",1,2,114.5,1940,-37.8832,145.0779,"Southern Metropolitan",8801,77,"20,028","Stonnington",3,2016
"89","Maribyrnong",2,635000,"PI","Nelson",2016-03-12,8.7,"3032",2,1,76,2002,-37.7865,144.9008,"Western Metropolitan",4918,70,"10,135","Maribyrnong",3,2016
"90","Melbourne",1,427000,"S","Harcourts",2016-03-12,2.8,"3000",1,0,49,2002,-37.8111,144.9715,"Northern Metropolitan",17496,93,"28,353","Melbourne",3,2016
"91","Moonee Ponds",2,348000,"S","Nelson",2016-03-12,6.9,"3039",1,1,63,2007,-37.7677,144.9221,"Western Metropolitan",6232,75,"13,507","Moonee Valley",3,2016
"92","North Melbourne",2,540000,"S","Jellis",2016-03-12,2.3,"3051",1,1,65,1970,-37.7994,144.9464,"Northern Metropolitan",6821,87,"11,733","Melbourne",3,2016
"93","North Melbourne",1,340000,"S","Brad",2016-03-12,2.3,"3051",1,1,49,1990,-37.7916,144.9443,"Northern Metropolitan",6821,87,"11,733","Melbourne",3,2016
"94","Oak Park",3,647000,"S","Brad",2016-03-12,11.5,"3046",1,2,114.5,2004,-37.7232,144.9148,"Northern Metropolitan",2651,55,"5,751","Moreland",3,2016
"95","Parkville",3,1360000,"S","Jellis",2016-03-12,2.6,"3052",2,1,139,1992,-37.7818,144.9576,"Northern Metropolitan",2309,79,"6,193","Melbourne",3,2016
"96","Port Melbourne",3,1200000,"SP","Other",2016-03-12,3.8,"3207",2,2,139,2012,-37.841,144.9379,"Southern Metropolitan",8648,84,"14,520","Port Phillip",3,2016
"97","Prahran",1,549800,"S","hockingstuart",2016-03-12,4.5,"3181",1,1,51,2012,-37.8519,144.9948,"Southern Metropolitan",7717,87,"11,171","Stonnington",3,2016
"98","Reservoir",2,336000,"S","Stockdale",2016-03-12,11.2,"3073",1,1,67,1970,-37.7166,144.9911,"Northern Metropolitan",21650,60,"47,517","Darebin",3,2016
"99","Reservoir",2,352000,"SP","Barry",2016-03-12,11.2,"3073",1,1,62,2012,-37.7101,145.0223,"Northern Metropolitan",21650,60,"47,517","Darebin",3,2016
"100","Richmond",1,370000,"S","Biggin",2016-03-12,2.6,"3121",1,1,38,1950,-37.8214,144.9997,"Northern Metropolitan",14949,90,"23,838","Yarra",3,2016
"101","South Yarra",1,402000,"S","LITTLE",2016-03-12,3.3,"3141",1,1,49,2013,-37.8392,144.9947,"Southern Metropolitan",14887,92,"19,186","Stonnington",3,2016
"102","South Yarra",3,1230000,"S","Kay",2016-03-12,3.3,"3141",2,2,138,1998,-37.8453,144.9849,"Southern Metropolitan",14887,92,"19,186","Melbourne",3,2016
"103","South Yarra",2,850000,"PI","Kay",2016-03-12,3.3,"3141",2,2,86,2014,-37.8411,144.9944,"Southern Metropolitan",14887,92,"19,186","Stonnington",3,2016
"104","South Yarra",3,1880000,"S","Abercromby's",2016-03-12,3.3,"3141",2,2,114.5,1968,-37.8399,145.0003,"Southern Metropolitan",14887,92,"19,186","Stonnington",3,2016
"105","St Kilda",2,430000,"S","Woodards",2016-03-12,6.1,"3182",1,1,71,1970,-37.8675,144.9851,"Southern Metropolitan",13240,93,"17,802","Port Phillip",3,2016
"106","St Kilda",2,575000,"SP","hockingstuart",2016-03-12,6.1,"3182",1,1,75,1970,-37.8573,144.9825,"Southern Metropolitan",13240,93,"17,802","Port Phillip",3,2016
"107","St Kilda",2,602000,"S","Other",2016-03-12,6.1,"3182",1,0,66,1930,-37.8707,144.9765,"Southern Metropolitan",13240,93,"17,802","Port Phillip",3,2016
"108","St Kilda",2,640000,"S","hockingstuart",2016-03-12,6.1,"3182",1,1,76,1970,-37.8715,144.9827,"Southern Metropolitan",13240,93,"17,802","Port Phillip",3,2016
"109","Thornbury",2,435000,"PI","Harcourts",2016-03-12,6.5,"3071",1,1,76,1970,-37.7622,144.9953,"Northern Metropolitan",8870,77,"17,473","Darebin",3,2016
"110","Thornbury",1,370000,"VB","Jellis",2016-03-12,6.5,"3071",1,1,62,1999,-37.7634,145.021,"Northern Metropolitan",8870,77,"17,473","Darebin",3,2016
"111","Thornbury",1,517500,"S","Harcourts",2016-03-12,6.5,"3071",1,0,53,1910,-37.762,144.996,"Northern Metropolitan",8870,77,"17,473","Darebin",3,2016
"112","Thornbury",2,470000,"S","Jellis",2016-03-12,6.5,"3071",1,1,76,1970,-37.7561,145.0067,"Northern Metropolitan",8870,77,"17,473","Darebin",3,2016
"113","Toorak",1,546000,"S","LITTLE",2016-03-12,4.6,"3142",1,1,49,1970,-37.8384,145.0178,"Southern Metropolitan",7217,74,"12,832","Stonnington",3,2016
"114","Viewbank",2,556000,"S","Ray",2016-03-12,13.8,"3084",1,1,76,1995,-37.7405,145.0876,"Eastern Metropolitan",2698,39,"6,741","Banyule",3,2016
"115","West Melbourne",3,650000,"S","Other",2016-03-12,1.9,"3003",2,1,114.5,1996,-37.8117,144.9518,"Northern Metropolitan",2230,89,"3,758","Melbourne",3,2016
"116","Williamstown",3,890000,"S","Other",2016-03-12,8,"3016",1,3,111,1980,-37.8663,144.8883,"Western Metropolitan",6380,71,"13,183","Hobsons Bay",3,2016
"117","Windsor",3,825000,"S","Marshall",2016-03-12,5.1,"3181",1,1,114.5,1972,-37.8565,144.998,"Southern Metropolitan",4380,91,"7,051","Stonnington",3,2016
"118","Footscray",1,216000,"S","Sweeney",2016-04-02,6.4,"3011",1,1,50,1970,-37.7907,144.8924,"Western Metropolitan",7570,78,"13,203","Maribyrnong",4,2016
"119","Mont Albert",2,750000,"S","RW",2016-04-02,11.8,"3127",2,2,80,2003,-37.8161,145.1098,"Eastern Metropolitan",2079,69,"4,961","Whitehorse",4,2016
"120","Ormond",1,250000,"VB","Ray",2016-04-02,11.8,"3204",1,1,36,1960,-37.9028,145.0475,"Southern Metropolitan",3578,72,"7,707","Glen Eira",4,2016
"121","Port Melbourne",2,550000,"S","Buxton",2016-04-02,3.8,"3207",1,1,57,2012,-37.8408,144.94,"Southern Metropolitan",8648,84,"14,520","Port Phillip",4,2016
"122","Surrey Hills",3,930000,"S","Fletchers",2016-04-02,11.2,"3127",2,2,114.5,1992,-37.8344,145.1114,"Southern Metropolitan",5457,66,"13,143","Whitehorse",4,2016
"123","Armadale",2,7e+05,"VB","Jellis",2016-04-06,6.3,"3143",1,2,76,1970,-37.8552,145.016,"Southern Metropolitan",4836,74,"8,732","Stonnington",4,2016
"124","Armadale",2,3625000,"S","Jellis",2016-04-06,6.3,"3143",2,2,76,2006,-37.8555,145.0291,"Southern Metropolitan",4836,74,"8,732","Stonnington",4,2016
"125","Balwyn",2,605000,"S","Marshall",2016-04-06,9.7,"3103",1,1,76,1975,-37.8152,145.0843,"Southern Metropolitan",5682,72,"12,945","Boroondara",4,2016
"126","Bentleigh East",2,495000,"S","Woodards",2016-04-06,13.9,"3165",1,1,79,1980,-37.91,145.0842,"Southern Metropolitan",10969,59,"25,928","Glen Eira",4,2016
"127","Bentleigh East",2,570000,"S","hockingstuart",2016-04-06,13.9,"3165",1,1,76,1996,-37.9193,145.0659,"Southern Metropolitan",10969,59,"25,928","Glen Eira",4,2016
"128","Braybrook",3,495000,"S","Bells",2016-04-06,10.8,"3019",2,1,124,2006,-37.7851,144.8517,"Western Metropolitan",3589,65,"8,190","Maribyrnong",4,2016
"129","Brighton",2,8e+05,"S","Hodges",2016-04-06,11.2,"3186",1,1,74,1960,-37.9122,145.0038,"Southern Metropolitan",10579,75,"21,267","Bayside",4,2016
"130","Brunswick",1,272500,"PI","Walshe",2016-04-06,5.2,"3056",1,1,40,1970,-37.762,144.9647,"Northern Metropolitan",11918,84,"22,739","Moreland",4,2016
"131","Brunswick",2,410000,"S","Ray",2016-04-06,5.2,"3056",1,1,66,2000,-37.7695,144.9528,"Northern Metropolitan",11918,84,"22,739","Moreland",4,2016
"132","Brunswick West",2,473000,"S","Harrington",2016-04-06,5.9,"3055",1,2,76,1970,-37.7682,144.9422,"Northern Metropolitan",7082,66,"13,171","Moreland",4,2016
"133","Camberwell",2,683000,"S","RT",2016-04-06,7.8,"3124",1,1,86,1970,-37.8357,145.0697,"Southern Metropolitan",8920,66,"20,022","Boroondara",4,2016
"134","Camberwell",2,430000,"VB","Jellis",2016-04-06,7.8,"3124",1,1,56,2011,-37.8493,145.0877,"Southern Metropolitan",8920,66,"20,022","Boroondara",4,2016
"135","Camberwell",2,615000,"S","Noel",2016-04-06,7.8,"3124",1,1,68,1960,-37.8347,145.057,"Southern Metropolitan",8920,66,"20,022","Boroondara",4,2016
"136","Camberwell",2,717000,"SP","Noel",2016-04-06,7.8,"3124",1,1,76,1960,-37.8469,145.0589,"Southern Metropolitan",8920,66,"20,022","Boroondara",4,2016
"137","Canterbury",2,830000,"S","Other",2016-04-06,9,"3126",1,1,83,1960,-37.8264,145.0824,"Southern Metropolitan",3265,72,"7,856","Boroondara",4,2016
"138","Carlton",3,860000,"PI","Woodards",2016-04-06,1.8,"3053",2,1,109,1994,-37.8052,144.9604,"Northern Metropolitan",6786,97,"13,505","Melbourne",4,2016
"139","Carnegie",1,290000,"S","Ray",2016-04-06,11.4,"3163",1,1,50,1960,-37.8858,145.0632,"Southern Metropolitan",7822,75,"16,333","Glen Eira",4,2016
"140","Carnegie",2,525000,"SP","hockingstuart",2016-04-06,11.4,"3163",1,2,67,2009,-37.8893,145.0589,"Southern Metropolitan",7822,75,"16,333","Glen Eira",4,2016
"141","Carnegie",2,772000,"S","hockingstuart",2016-04-06,11.4,"3163",1,2,100,1973,-37.8863,145.066,"Southern Metropolitan",7822,75,"16,333","Glen Eira",4,2016
"142","Carnegie",1,363000,"S","hockingstuart",2016-04-06,11.4,"3163",1,1,49,1970,-37.8982,145.0625,"Southern Metropolitan",7822,75,"16,333","Glen Eira",4,2016
"143","Chadstone",3,7e+05,"S","Other",2016-04-06,13.6,"3148",2,1,94,2006,-37.8738,145.1054,"Southern Metropolitan",3582,66,"7,825","Monash",4,2016
"144","Doncaster",3,7e+05,"PI","Barry",2016-04-06,13.9,"3108",2,2,119,2007,-37.7862,145.1235,"Eastern Metropolitan",9028,58,"18,372","Manningham",4,2016
"145","Elsternwick",2,930000,"S","hockingstuart",2016-04-06,8.5,"3185",1,1,76,1970,-37.8904,145.013,"Southern Metropolitan",4898,83,"9,772","Glen Eira",4,2016
"146","Elwood",2,790000,"S","Marshall",2016-04-06,7.7,"3184",1,2,85,1940,-37.8794,144.9938,"Southern Metropolitan",8989,84,"14,644","Port Phillip",4,2016
"147","Other",2,695000,"S","Woodards",2016-04-06,10.4,"3163",2,1,76,1968,-37.8878,145.0407,"Southern Metropolitan",2403,76,"4,672","Glen Eira",4,2016
"148","Hadfield",3,465000,"SP","Brad",2016-04-06,12.1,"3046",1,1,114.5,2005,-37.7068,144.9467,"Northern Metropolitan",2606,51,"5,355","Moreland",4,2016
"149","Hawthorn",2,891000,"S","Marshall",2016-04-06,4.6,"3122",1,1,76,1970,-37.8186,145.017,"Southern Metropolitan",11308,85,"21,138","Boroondara",4,2016
"150","Hawthorn",2,806000,"S","Noel",2016-04-06,4.6,"3122",1,1,64,1930,-37.8249,145.0342,"Southern Metropolitan",11308,85,"21,138","Boroondara",4,2016
"151","Kensington",2,420000,"VB","Alexkarbon",2016-04-06,4.2,"3031",1,1,55,1970,-37.794,144.923,"Northern Metropolitan",5263,82,"9,689","Melbourne",4,2016
"152","Kensington",2,492500,"S","Other",2016-04-06,4.2,"3031",1,1,81,2008,-37.7974,144.9261,"Northern Metropolitan",5263,82,"9,689","Melbourne",4,2016
"153","Kew",3,882000,"S","Marshall",2016-04-06,5.6,"3101",2,2,141,1950,-37.8064,145.0182,"Southern Metropolitan",10331,71,"23,871","Boroondara",4,2016
"154","Kew",2,588000,"S","Jellis",2016-04-06,5.6,"3101",1,1,76,1982,-37.8034,145.0369,"Southern Metropolitan",10331,71,"23,871","Boroondara",4,2016
