"","Suburb","Type","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","CouncilArea","Month","Year"
"29","Bentleigh East","h",2,1410000,"S","hockingstuart",2016-03-09,13.9,"3165",1,2,768,96,1960,-37.9305,145.0547,"Southern Metropolitan",10969,"Glen Eira",3,2016
"30","Bentleigh East","h",2,825000,"S","Buxton",2016-03-09,13.9,"3165",2,1,176,125,2008,-37.9237,145.0763,"Southern Metropolitan",10969,"Glen Eira",3,2016
"31","Box Hill","h",4,1620000,"S","hockingstuart",2016-03-09,13.1,"3128",2,2,697,255,1940,-37.8151,145.135,"Eastern Metropolitan",4605,"Whitehorse",3,2016
"32","Braybrook","h",3,870000,"S","Barry",2016-03-09,10.8,"3019",2,4,700,130,1960,-37.7824,144.8469,"Western Metropolitan",3589,"Maribyrnong",3,2016
"33","Braybrook","h",2,645000,"S","Barry",2016-03-09,10.8,"3019",1,1,566,75,1950,-37.7839,144.8524,"Western Metropolitan",3589,"Maribyrnong",3,2016
"34","Brighton","h",3,1550000,"VB","Buxton",2016-03-09,11.2,"3186",2,2,663,130,1940,-37.9159,145.0068,"Southern Metropolitan",10579,"Bayside",3,2016
"35","Brighton","h",3,1635000,"S","Buxton",2016-03-09,11.2,"3186",1,2,366,156,1920,-37.9038,145.0001,"Southern Metropolitan",10579,"Bayside",3,2016
"36","Brighton East","h",3,930000,"SP","Marshall",2016-03-09,10.7,"3187",1,1,329,117,1930,-37.9317,145.0218,"Southern Metropolitan",6938,"Bayside",3,2016
"37","Brighton East","h",4,1940000,"S","hockingstuart",2016-03-09,10.7,"3187",2,2,682,240,1960,-37.9205,145.0122,"Southern Metropolitan",6938,"Bayside",3,2016
"38","Brighton East","h",4,1850000,"S","Nick",2016-03-09,10.7,"3187",2,2,617,268,1940,-37.9187,145.007,"Southern Metropolitan",6938,"Bayside",3,2016
"39","Brunswick","h",2,1026000,"S","Nelson",2016-03-09,5.2,"3056",1,0,225,108,1905,-37.7676,144.9665,"Northern Metropolitan",11918,"Moreland",3,2016
"40","Brunswick","u",2,428000,"S","Brad",2016-03-09,5.2,"3056",1,2,0,76,1970,-37.7593,144.9652,"Northern Metropolitan",11918,"Moreland",3,2016
"41","Brunswick West","u",2,521500,"S","Peter",2016-03-09,5.9,"3055",1,1,0,69,1960,-37.768,144.9408,"Northern Metropolitan",7082,"Moreland",3,2016
"42","Bulleen","h",4,1300000,"S","Jellis",2016-03-09,11.8,"3105",1,2,717,180,1960,-37.7608,145.0862,"Eastern Metropolitan",4480,"Manningham",3,2016
"43","Bulleen","h",4,1235000,"S","Jellis",2016-03-09,11.8,"3105",2,2,556,214,1957,-37.7657,145.0957,"Eastern Metropolitan",4480,"Manningham",3,2016
"44","Bulleen","h",4,1110000,"PI","Barry",2016-03-09,11.8,"3105",2,2,562,190,1970,-37.7628,145.0994,"Eastern Metropolitan",4480,"Manningham",3,2016
"45","Bulleen","u",3,851000,"S","Jellis",2016-03-09,11.8,"3105",1,2,385,140,2000,-37.7599,145.0849,"Eastern Metropolitan",4480,"Manningham",3,2016
"46","Burwood","h",5,1590000,"S","Jellis",2016-03-09,11.7,"3125",3,2,661,253,1940,-37.848,145.098,"Southern Metropolitan",5678,"Whitehorse",3,2016
"47","Camberwell","h",4,2650000,"S","Jellis",2016-03-09,7.8,"3124",2,1,652,189,1890,-37.8286,145.0686,"Southern Metropolitan",8920,"Boroondara",3,2016
"48","Camberwell","h",4,3225000,"SA","RT",2016-03-09,7.8,"3124",3,2,934,190,1939,-37.8496,145.0869,"Southern Metropolitan",8920,"Boroondara",3,2016
"49","Camberwell","t",3,1615000,"S","Marshall",2016-03-09,7.8,"3124",1,2,389,135,1998,-37.8435,145.0695,"Southern Metropolitan",8920,"Boroondara",3,2016
"50","Canterbury","h",4,2950000,"S","Marshall",2016-03-09,9,"3126",2,2,687,215,1935,-37.8186,145.0706,"Southern Metropolitan",3265,"Boroondara",3,2016
"51","Carlton North","h",3,1330000,"VB","Nelson",2016-03-09,3.2,"3054",1,1,314,130,1900,-37.7871,144.9766,"Northern Metropolitan",3106,"Yarra",3,2016
"52","Carnegie","u",3,820000,"S","Ray",2016-03-09,11.4,"3163",1,2,0,96,1989,-37.897,145.0623,"Southern Metropolitan",7822,"Glen Eira",3,2016
"53","Carnegie","t",2,795000,"S","Gary",2016-03-09,11.4,"3163",2,1,133,104,2009,-37.8911,145.0539,"Southern Metropolitan",7822,"Glen Eira",3,2016
"54","Other","u",2,722500,"S","Gary",2016-03-09,8.9,"3162",1,1,0,100,1960,-37.8865,145.0302,"Southern Metropolitan",2379,"Glen Eira",3,2016
"55","Caulfield North","h",3,1365000,"S","McGrath",2016-03-09,8.1,"3161",1,0,513,130,1910,-37.8678,145.027,"Southern Metropolitan",6923,"Glen Eira",3,2016
"56","Caulfield North","h",3,1750000,"S","Marshall",2016-03-09,8.1,"3161",2,2,692,313,1955,-37.8629,145.019,"Southern Metropolitan",6923,"Glen Eira",3,2016
"57","Caulfield South","h",3,1577500,"S","hockingstuart",2016-03-09,9.3,"3162",2,2,357,144,1935,-37.8896,145.0307,"Southern Metropolitan",5051,"Glen Eira",3,2016
"58","Chadstone","t",3,752000,"S","Buxton",2016-03-09,13.6,"3148",2,1,182,135,2012,-37.8786,145.1015,"Southern Metropolitan",3582,"Monash",3,2016
"59","Clifton Hill","h",3,1270000,"S","Nelson",2016-03-09,3.4,"3068",2,0,187,130,1900,-37.7902,144.9894,"Northern Metropolitan",2954,"Yarra",3,2016
"60","Coburg","h",2,850000,"SP","Brad",2016-03-09,7.8,"3058",1,1,371,93,1930,-37.735,144.9589,"Northern Metropolitan",11204,"Moreland",3,2016
"61","Coburg","h",3,784000,"S","Nelson",2016-03-09,7.8,"3058",1,1,286,110,1890,-37.7427,144.952,"Northern Metropolitan",11204,"Moreland",3,2016
"62","Collingwood","u",2,1260000,"S","Jellis",2016-03-09,1.6,"3066",1,1,0,129,1900,-37.8042,144.9845,"Northern Metropolitan",4553,"Yarra",3,2016
"63","Collingwood","t",2,750000,"S","Jellis",2016-03-09,1.6,"3066",1,1,115,100,1998,-37.7968,144.9891,"Northern Metropolitan",4553,"Yarra",3,2016
"64","Collingwood","h",2,890000,"S","LITTLE",2016-03-09,1.6,"3066",1,1,178,70,1900,-37.7974,144.9915,"Northern Metropolitan",4553,"Yarra",3,2016
"65","Doncaster","h",4,1924500,"S","Barry",2016-03-09,13.9,"3108",4,2,1157,190,1970,-37.7779,145.127,"Eastern Metropolitan",9028,"Manningham",3,2016
"66","Doncaster","u",2,492500,"S","Barry",2016-03-09,13.9,"3108",1,1,65,76,1975,-37.7887,145.1438,"Eastern Metropolitan",9028,"Manningham",3,2016
"67","Elsternwick","h",2,9e+05,"VB","Gary",2016-03-09,8.5,"3185",1,2,239,110,1940,-37.8845,144.999,"Southern Metropolitan",4898,"Glen Eira",3,2016
"68","Elwood","u",1,520000,"S","Chisholm",2016-03-09,7.7,"3184",1,1,0,51,1930,-37.8761,144.9871,"Southern Metropolitan",8989,"Port Phillip",3,2016
"69","Elwood","t",3,1350000,"S","hockingstuart",2016-03-09,7.7,"3184",2,2,1170,135,2008,-37.8831,144.9801,"Southern Metropolitan",8989,"Port Phillip",3,2016
"70","Essendon","h",3,1425000,"S","Jellis",2016-03-09,8,"3040",2,2,684,147,1950,-37.7585,144.9317,"Western Metropolitan",9264,"Moonee Valley",3,2016
"71","Essendon","u",2,550000,"VB","Nelson",2016-03-09,8,"3040",1,1,0,83,1980,-37.7575,144.9298,"Western Metropolitan",9264,"Moonee Valley",3,2016
"72","Essendon","u",2,660000,"S","Barry",2016-03-09,8,"3040",1,1,263,113,1980,-37.7418,144.8977,"Western Metropolitan",9264,"Moonee Valley",3,2016
"73","Essendon North","u",2,396000,"S","Barry",2016-03-09,9.4,"3041",1,1,0,56,1975,-37.7428,144.9086,"Western Metropolitan",1308,"Moonee Valley",3,2016
"74","Fairfield","h",3,1250000,"VB","Jellis",2016-03-09,5.8,"3078",2,0,327,144,1910,-37.7723,145.0179,"Northern Metropolitan",2970,"Darebin",3,2016
"75","Fitzroy","h",2,1e+06,"S","Nelson",2016-03-09,1.6,"3065",1,0,128,96,1895,-37.7941,144.9802,"Northern Metropolitan",5825,"Yarra",3,2016
"76","Fitzroy","h",3,1252000,"S","Nelson",2016-03-09,1.6,"3065",2,2,0,137,2004,-37.8029,144.975,"Northern Metropolitan",5825,"Yarra",3,2016
"77","Fitzroy North","h",4,1450000,"VB","Nelson",2016-03-09,3.5,"3068",2,1,266,175,1950,-37.7797,144.9861,"Northern Metropolitan",6244,"Yarra",3,2016
"78","Fitzroy North","h",2,860000,"S","Woodards",2016-03-09,3.5,"3068",1,0,104,70,1880,-37.7927,144.9796,"Northern Metropolitan",6244,"Yarra",3,2016
"79","Fitzroy North","h",2,870000,"S","Nelson",2016-03-09,3.5,"3068",1,0,107,64,1910,-37.7898,144.9794,"Northern Metropolitan",6244,"Yarra",3,2016
"80","Fitzroy North","h",2,1116000,"S","Nelson",2016-03-09,3.5,"3068",1,0,152,96,1890,-37.791,144.9809,"Northern Metropolitan",6244,"Yarra",3,2016
"81","Flemington","h",2,865500,"S","Nelson",2016-03-09,4.4,"3031",1,1,168,96,1905,-37.7835,144.9339,"Northern Metropolitan",3593,"Moonee Valley",3,2016
"82","Footscray","t",3,585000,"S","Nelson",2016-03-09,6.4,"3011",1,1,259,135,2010,-37.7955,144.9063,"Western Metropolitan",7570,"Maribyrnong",3,2016
"83","Footscray","u",1,85000,"PI","Burnham",2016-03-09,6.4,"3011",1,0,0,49,2007,-37.7911,144.89,"Western Metropolitan",7570,"Maribyrnong",3,2016
"84","Glen Iris","h",2,1699000,"S","Jellis",2016-03-09,9.2,"3146",1,2,653,96,1940,-37.8573,145.077,"Southern Metropolitan",10412,"Boroondara",3,2016
"85","Glen Iris","h",4,3400000,"VB","Kay",2016-03-09,9.2,"3146",3,2,856,265,1920,-37.8628,145.0436,"Southern Metropolitan",10412,"Stonnington",3,2016
"86","Glen Iris","h",3,1735000,"S","hockingstuart",2016-03-09,9.2,"3146",2,3,680,170,1935,-37.854,145.0832,"Southern Metropolitan",10412,"Boroondara",3,2016
"87","Glenroy","h",3,610000,"S","Ray",2016-03-09,13,"3046",1,2,696,118,1960,-37.6972,144.9431,"Northern Metropolitan",8870,"Moreland",3,2016
"88","Gowanbrae","t",3,532000,"S","Nelson",2016-03-09,13.6,"3043",2,1,149,19,2005,-37.7068,144.8963,"Western Metropolitan",1071,"Moreland",3,2016
"89","Gowanbrae","h",3,631000,"S","Nelson",2016-03-09,13.6,"3043",2,2,608,138,2001,-37.709,144.8925,"Western Metropolitan",1071,"Moreland",3,2016
"90","Hadfield","h",3,685500,"SP","Brad",2016-03-09,12.1,"3046",1,2,724,103,1970,-37.7076,144.9481,"Northern Metropolitan",2606,"Moreland",3,2016
"91","Hadfield","h",3,605000,"PI","hockingstuart",2016-03-09,12.1,"3046",1,2,597,116,1960,-37.711,144.9478,"Northern Metropolitan",2606,"Moreland",3,2016
"92","Hampton","h",4,3250000,"S","hockingstuart",2016-03-09,13.7,"3188",3,2,928,300,1904,-37.9389,145.0062,"Southern Metropolitan",5454,"Bayside",3,2016
"93","Hampton","u",2,587000,"S","Ray",2016-03-09,13.7,"3188",1,1,0,74,1975,-37.9419,145.0019,"Southern Metropolitan",5454,"Bayside",3,2016
"94","Hampton","u",2,720000,"S","Buxton",2016-03-09,13.7,"3188",1,1,832,76,1970,-37.9387,145.0063,"Southern Metropolitan",5454,"Bayside",3,2016
"95","Hampton","u",2,895000,"S","hockingstuart",2016-03-09,13.7,"3188",1,1,228,87,1975,-37.9355,145.0008,"Southern Metropolitan",5454,"Bayside",3,2016
"96","Hawthorn","h",4,1650000,"PI","Jellis",2016-03-09,4.6,"3122",2,2,317,210,2005,-37.8344,145.0422,"Southern Metropolitan",11308,"Boroondara",3,2016
"97","Heidelberg Heights","h",2,815000,"SP","Fletchers",2016-03-09,10.5,"3081",1,2,589,120,1930,-37.7501,145.0505,"Eastern Metropolitan",2947,"Banyule",3,2016
"98","Heidelberg West","h",5,765000,"S","Nelson",2016-03-09,9.4,"3081",2,2,415,260,1960,-37.7354,145.0381,"Eastern Metropolitan",2674,"Banyule",3,2016
"99","Heidelberg West","h",3,691000,"S","Haughton",2016-03-09,9.4,"3081",1,2,624,86,1965,-37.7456,145.0397,"Eastern Metropolitan",2674,"Banyule",3,2016
"100","Hughesdale","h",2,1550000,"S","Woodards",2016-03-09,13,"3166",1,1,732,97,1950,-37.8931,145.0791,"Southern Metropolitan",3145,"Monash",3,2016
"101","Hughesdale","u",2,516000,"S","Ray",2016-03-09,13,"3166",1,1,0,76,1970,-37.8967,145.0858,"Southern Metropolitan",3145,"Monash",3,2016
"102","Ivanhoe","u",2,480000,"VB","Miles",2016-03-09,7.9,"3079",1,1,0,76,1970,-37.77,145.0472,"Eastern Metropolitan",5549,"Banyule",3,2016
"103","Keilor East","h",3,650000,"SP","Barry",2016-03-09,12.8,"3033",1,1,538,104,1970,-37.7441,144.8503,"Western Metropolitan",5629,"Moonee Valley",3,2016
"104","Keilor East","h",3,703000,"S","Nelson",2016-03-09,12.8,"3033",2,2,683,200,1995,-37.7402,144.8591,"Western Metropolitan",5629,"Moonee Valley",3,2016
"105","Kensington","h",3,1037000,"S","Rendina",2016-03-09,4.2,"3031",1,1,188,106,1910,-37.7953,144.9275,"Northern Metropolitan",5263,"Melbourne",3,2016
"106","Kensington","h",3,852000,"S","Nelson",2016-03-09,4.2,"3031",1,1,166,138,2000,-37.7929,144.9197,"Northern Metropolitan",5263,"Melbourne",3,2016
"107","Kensington","h",3,785000,"S","Nelson",2016-03-09,4.2,"3031",1,1,258,64,1910,-37.7906,144.924,"Northern Metropolitan",5263,"Melbourne",3,2016
"108","Kew","h",2,4800000,"S","Jellis",2016-03-09,5.6,"3101",2,1,697,96,1940,-37.812,145.0547,"Southern Metropolitan",10331,"Boroondara",3,2016
"109","Kew","h",3,1635000,"S","Jellis",2016-03-09,5.6,"3101",1,2,396,130,1990,-37.8102,145.0451,"Southern Metropolitan",10331,"Boroondara",3,2016
"110","Kew East","h",4,2490000,"S","Marshall",2016-03-09,7.5,"3102",2,2,712,14,1940,-37.7936,145.0566,"Southern Metropolitan",2671,"Boroondara",3,2016
"111","Kew East","u",2,620000,"S","Nelson",2016-03-09,7.5,"3102",1,1,0,76,1970,-37.7971,145.0514,"Southern Metropolitan",2671,"Boroondara",3,2016
"112","Maidstone","h",3,715000,"S","Burnham",2016-03-09,9.2,"3012",1,1,576,128,1970,-37.7808,144.8678,"Western Metropolitan",3873,"Maribyrnong",3,2016
"113","Maidstone","h",3,670000,"S","Sweeney",2016-03-09,9.2,"3012",1,3,564,130,1955,-37.7832,144.8745,"Western Metropolitan",3873,"Maribyrnong",3,2016
"114","Maidstone","h",4,826000,"S","Rendina",2016-03-09,9.2,"3012",2,2,308,185,2012,-37.7833,144.8817,"Western Metropolitan",3873,"Maribyrnong",3,2016
"115","Maidstone","t",3,615000,"S","Jas",2016-03-09,9.2,"3012",2,2,165,161,2007,-37.7773,144.8725,"Western Metropolitan",3873,"Maribyrnong",3,2016
"116","Malvern East","h",4,1300000,"S","Other",2016-03-09,11.2,"3145",2,2,644,190,1930,-37.8747,145.0836,"Southern Metropolitan",8801,"Stonnington",3,2016
"117","Malvern East","h",4,1675000,"PI","Thomson",2016-03-09,11.2,"3145",2,4,727,190,1930,-37.8779,145.0651,"Southern Metropolitan",8801,"Stonnington",3,2016
"118","Malvern East","h",3,1490000,"S","Marshall",2016-03-09,11.2,"3145",1,1,322,137,1910,-37.8726,145.0396,"Southern Metropolitan",8801,"Stonnington",3,2016
"119","Malvern East","h",3,1210000,"S","Marshall",2016-03-09,11.2,"3145",2,1,337,146,1993,-37.8833,145.0697,"Southern Metropolitan",8801,"Stonnington",3,2016
"120","Middle Park","h",3,2600000,"VB","Cayzer",2016-03-09,4.1,"3206",1,1,279,133,1900,-37.8499,144.957,"Southern Metropolitan",2019,"Port Phillip",3,2016
"121","Mont Albert","h",2,1320000,"SP","Other",2016-03-09,11.8,"3127",1,1,613,115,1950,-37.8238,145.1135,"Eastern Metropolitan",2079,"Whitehorse",3,2016
"122","Mont Albert","h",4,2850000,"S","Jellis",2016-03-09,11.8,"3127",2,2,1388,190,1938,-37.82,145.1118,"Eastern Metropolitan",2079,"Whitehorse",3,2016
"123","Moonee Ponds","u",3,670000,"S","Nelson",2016-03-09,6.9,"3039",2,2,0,120,2000,-37.7672,144.9209,"Western Metropolitan",6232,"Moonee Valley",3,2016
"124","Moorabbin","h",3,1e+06,"S","O'Brien",2016-03-09,14.6,"3189",2,2,573,150,1970,-37.9428,145.044,"Southern Metropolitan",2555,"Kingston",3,2016
"125","Moorabbin","u",1,380500,"S","Ray",2016-03-09,14.6,"3189",1,1,106,51,1990,-37.9374,145.0388,"Southern Metropolitan",2555,"Kingston",3,2016
"126","Moorabbin","h",3,1224000,"S","Buxton",2016-03-09,14.6,"3189",1,3,834,143,1960,-37.9376,145.0474,"Southern Metropolitan",2555,"Kingston",3,2016
"127","Moorabbin","h",3,1020000,"S","Buxton",2016-03-09,14.6,"3189",1,3,771,130,1960,-37.9375,145.0474,"Southern Metropolitan",2555,"Kingston",3,2016
"128","Newport","h",3,826000,"S","Village",2016-03-09,8.4,"3015",1,2,281,100,1957,-37.8457,144.8651,"Western Metropolitan",5498,"Hobsons Bay",3,2016
"129","Newport","h",3,1025000,"SP","Sweeney",2016-03-09,8.4,"3015",2,2,301,195,1940,-37.842,144.8902,"Western Metropolitan",5498,"Hobsons Bay",3,2016
"130","Niddrie","t",3,830000,"S","Barry",2016-03-09,11.2,"3042",3,2,303,236,2013,-37.742,144.8885,"Western Metropolitan",2291,"Moonee Valley",3,2016
"131","Niddrie","h",3,780000,"PI","McDonald",2016-03-09,11.2,"3042",2,2,274,130,1955,-37.7353,144.8907,"Western Metropolitan",2291,"Moonee Valley",3,2016
"132","North Melbourne","h",4,2920000,"S","Nelson",2016-03-09,2.3,"3051",3,4,310,276,1880,-37.7958,144.944,"Northern Metropolitan",6821,"Melbourne",3,2016
"133","North Melbourne","h",3,1635000,"S","Nelson",2016-03-09,2.3,"3051",1,0,517,130,1910,-37.7967,144.9472,"Northern Metropolitan",6821,"Melbourne",3,2016
"134","North Melbourne","u",1,491000,"SP","Nelson",2016-03-09,2.3,"3051",1,1,0,49,1990,-37.8044,144.9566,"Northern Metropolitan",6821,"Melbourne",3,2016
"135","Northcote","h",3,1382500,"SA","Nelson",2016-03-09,5.5,"3070",2,2,286,188,2007,-37.7708,145.0054,"Northern Metropolitan",11364,"Darebin",3,2016
"136","Northcote","u",2,630000,"S","McGrath",2016-03-09,5.5,"3070",2,1,0,76,1975,-37.7679,144.9994,"Northern Metropolitan",11364,"Darebin",3,2016
"137","Northcote","h",2,1286000,"S","McGrath",2016-03-09,5.5,"3070",1,1,245,108,1890,-37.7662,145.0096,"Northern Metropolitan",11364,"Darebin",3,2016
"138","Northcote","h",3,1200000,"S","Nelson",2016-03-09,5.5,"3070",1,1,215,125,1920,-37.7759,144.9909,"Northern Metropolitan",11364,"Darebin",3,2016
"139","Northcote","h",4,1600000,"VB","Jellis",2016-03-09,5.5,"3070",2,1,464,179,1910,-37.7805,145.004,"Northern Metropolitan",11364,"Darebin",3,2016
"140","Oak Park","h",2,592000,"S","Barry",2016-03-09,11.5,"3046",1,2,577,96,1960,-37.7137,144.9167,"Northern Metropolitan",2651,"Moreland",3,2016
"141","Oak Park","h",3,892000,"S","Nelson",2016-03-09,11.5,"3046",1,3,757,130,1960,-37.718,144.9174,"Northern Metropolitan",2651,"Moreland",3,2016
"142","Oakleigh South","t",3,680000,"S","Fletchers",2016-03-09,14.7,"3167",2,1,189,123,2005,-37.9122,145.0853,"South-Eastern Metropolitan",3692,"Monash",3,2016
"143","Parkville","h",4,1230000,"S","Nelson",2016-03-09,2.6,"3052",2,2,357,249,2009,-37.7767,144.9403,"Northern Metropolitan",2309,"Melbourne",3,2016
"144","Pascoe Vale","h",3,770000,"S","Nelson",2016-03-09,9.9,"3044",1,4,560,120,1960,-37.7156,144.9429,"Northern Metropolitan",7485,"Moreland",3,2016
"145","Pascoe Vale","h",3,1120000,"S","Brad",2016-03-09,9.9,"3044",1,2,50,141,1950,-37.734,144.9416,"Northern Metropolitan",7485,"Moreland",3,2016
"146","Port Melbourne","u",2,1100000,"S","Biggin",2016-03-09,3.8,"3207",2,1,0,76,2005,-37.8405,144.9319,"Southern Metropolitan",8648,"Port Phillip",3,2016
"147","Prahran","u",2,781000,"S","Other",2016-03-09,4.5,"3181",1,1,0,73,1930,-37.8511,145.0029,"Southern Metropolitan",7717,"Stonnington",3,2016
"148","Prahran","u",2,650000,"VB","Hodges",2016-03-09,4.5,"3181",1,1,0,76,1965,-37.85,145.0085,"Southern Metropolitan",7717,"Stonnington",3,2016
"149","Prahran","u",1,342000,"S","hockingstuart",2016-03-09,4.5,"3181",1,1,0,34,1960,-37.8486,144.9872,"Southern Metropolitan",7717,"Stonnington",3,2016
"150","Prahran","h",2,950000,"PI","hockingstuart",2016-03-09,4.5,"3181",1,1,88,121,2000,-37.8503,144.9913,"Southern Metropolitan",7717,"Stonnington",3,2016
"151","Preston","h",3,930000,"SP","Barry",2016-03-09,8.8,"3072",1,2,518,130,1950,-37.7418,145.0095,"Northern Metropolitan",14577,"Darebin",3,2016
"152","Preston","h",3,1250000,"S","Harcourts",2016-03-09,8.8,"3072",1,2,644,141,1980,-37.7419,145.0049,"Northern Metropolitan",14577,"Darebin",3,2016
"153","Preston","h",4,930000,"S","Ray",2016-03-09,8.8,"3072",2,2,604,180,1920,-37.7369,144.9905,"Northern Metropolitan",14577,"Darebin",3,2016
"154","Preston","h",4,1004000,"S","Nelson",2016-03-09,8.8,"3072",0,0,650,190,1950,-37.7346,145.0226,"Northern Metropolitan",14577,"Darebin",3,2016
"155","Preston","h",4,9e+05,"S","Nelson",2016-03-09,8.8,"3072",2,1,530,190,1940,-37.7416,145.016,"Northern Metropolitan",14577,"Darebin",3,2016
"156","Preston","h",3,855000,"VB","Ray",2016-03-09,8.8,"3072",1,2,584,130,1950,-37.7332,145.0252,"Northern Metropolitan",14577,"Darebin",3,2016
"157","Reservoir","u",3,475000,"S","Ray",2016-03-09,11.2,"3073",1,1,191,107,1990,-37.7019,145.0256,"Northern Metropolitan",21650,"Darebin",3,2016
