"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"15","Oakleigh South",3,680000,"S","Fletchers",2016-03-09,14.7,"3167",2,1,189,123,2005,-37.9122,145.0853,"South-Eastern Metropolitan",3692,50,"9,126","Monash",3,2016
"16","Richmond",3,1236000,"S","Jellis",2016-03-09,2.6,"3121",2,1,675,135,2004,-37.8206,145.0003,"Northern Metropolitan",14949,90,"23,838","Yarra",3,2016
"17","Surrey Hills",3,1110000,"S","Fletchers",2016-03-09,11.2,"3127",2,2,401,129,1970,-37.8332,145.1105,"Southern Metropolitan",5457,66,"13,143","Whitehorse",3,2016
"18","West Melbourne",3,1010000,"S","Jellis",2016-03-09,1.9,"3003",3,2,0,132,1940,-37.8048,144.9424,"Northern Metropolitan",2230,89,"3,758","Melbourne",3,2016
"19","Other",2,5e+05,"VB","Village",2016-03-09,8.9,"3016",1,1,53,100,2001,-37.8563,144.8782,"Western Metropolitan",802,61,"1,543","Hobsons Bay",3,2016
"20","Armadale",3,1205000,"S","Jellis",2016-03-12,6.3,"3143",2,2,101,105,2000,-37.854,145.0135,"Southern Metropolitan",4836,74,"8,732","Stonnington",3,2016
"21","Ashburton",3,2050000,"S","Fletchers",2016-03-12,11,"3147",3,4,310,315,2014,-37.874,145.0714,"Southern Metropolitan",3052,68,"7,577","Boroondara",3,2016
"22","Ashburton",3,955000,"S","Buxton",2016-03-12,11,"3147",2,2,203,135,2007,-37.8655,145.0807,"Southern Metropolitan",3052,68,"7,577","Boroondara",3,2016
"23","Avondale Heights",3,851000,"S","Nelson",2016-03-12,10.5,"3034",3,1,557,181,2017,-37.77,144.8572,"Western Metropolitan",4502,59,"11,015","Moonee Valley",3,2016
"24","Bentleigh",2,851000,"S","hockingstuart",2016-03-12,13,"3204",1,1,140,250,1970,-37.9204,145.0443,"Southern Metropolitan",6795,75,"14,926","Glen Eira",3,2016
"25","Other",4,1600000,"SP","Gary",2016-03-12,8.9,"3162",3,2,812,188.5,2005,-37.8864,145.0326,"Southern Metropolitan",2379,73,"5,159","Glen Eira",3,2016
"26","Coburg",2,807000,"S","Nelson",2016-03-12,7.8,"3058",2,1,0,176,2010,-37.7546,144.9713,"Northern Metropolitan",11204,71,"24,996","Moreland",3,2016
"27","Doncaster",4,855000,"S","Barry",2016-03-12,13.9,"3108",2,2,242,188.5,2009,-37.7915,145.1258,"Eastern Metropolitan",9028,58,"18,372","Manningham",3,2016
"28","Essendon",2,595000,"S","Frank",2016-03-12,8,"3040",1,2,752,89,1990,-37.7553,144.9302,"Western Metropolitan",9264,71,"18,841","Moonee Valley",3,2016
"29","Glenroy",3,555000,"SP","Stockdale",2016-03-12,13,"3046",2,2,244,3,2010,-37.6969,144.9299,"Northern Metropolitan",8870,54,"19,671","Moreland",3,2016
"30","Hampton",3,2200000,"VB","Marshall",2016-03-12,13.7,"3188",2,3,1402,135,2000,-37.9347,144.9963,"Southern Metropolitan",5454,69,"12,459","Bayside",3,2016
"31","Hampton",4,1500000,"VB","Buxton",2016-03-12,13.7,"3188",1,1,692,188.5,2000,-37.9386,145.0055,"Southern Metropolitan",5454,69,"12,459","Bayside",3,2016
"32","Keilor East",3,480000,"S","Nelson",2016-03-12,12.8,"3033",2,1,184,135,2012,-37.7424,144.8639,"Western Metropolitan",5629,55,"13,234","Moonee Valley",3,2016
"33","Keilor East",3,770000,"SP","Barry",2016-03-12,12.8,"3033",2,1,331,201,2010,-37.7325,144.8621,"Western Metropolitan",5629,55,"13,234","Moonee Valley",3,2016
"34","Maidstone",3,640000,"SP","Biggin",2016-03-12,9.2,"3012",2,2,214,135,2013,-37.7806,144.8714,"Western Metropolitan",3873,62,"7,768","Maribyrnong",3,2016
"35","Newport",3,962000,"S","Village",2016-03-12,8.4,"3015",2,2,283,179,2011,-37.8477,144.8753,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",3,2016
"36","Reservoir",3,620000,"S","RW",2016-03-12,11.2,"3073",2,2,207,135,2006,-37.7086,145.0251,"Northern Metropolitan",21650,60,"47,517","Darebin",3,2016
"37","Surrey Hills",3,1330500,"S","Fletchers",2016-03-12,11.2,"3127",2,2,226,135,2004,-37.8275,145.0958,"Southern Metropolitan",5457,66,"13,143","Boroondara",3,2016
"38","Surrey Hills",3,1325000,"SP","Fletchers",2016-03-12,11.2,"3127",2,1,302,135,1984,-37.8289,145.1005,"Southern Metropolitan",5457,66,"13,143","Whitehorse",3,2016
"39","Yarraville",2,650000,"VB","Jas",2016-03-12,7,"3013",1,1,0,2,1980,-37.8113,144.8955,"Western Metropolitan",6543,77,"13,811","Maribyrnong",3,2016
"40","Altona",2,720000,"S","hockingstuart",2016-04-02,13.8,"3018",1,2,292,125,2013,-37.8687,144.8197,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",4,2016
"41","Elwood",3,1395000,"S","Other",2016-04-02,7.7,"3184",2,1,400,126,1996,-37.8829,144.9797,"Southern Metropolitan",8989,84,"14,644","Port Phillip",4,2016
"42","Maribyrnong",3,560000,"VB","Biggin",2016-04-02,8.7,"3032",2,2,83,135,2000,-37.7719,144.8815,"Western Metropolitan",4918,70,"10,135","Maribyrnong",4,2016
"43","Maribyrnong",3,560000,"VB","Biggin",2016-04-02,8.7,"3032",2,2,77,115,2004,-37.7746,144.8798,"Western Metropolitan",4918,70,"10,135","Maribyrnong",4,2016
"44","Thornbury",2,805000,"S","Nelson",2016-04-02,6.5,"3071",1,2,164,95,2009,-37.7536,144.9825,"Northern Metropolitan",8870,77,"17,473","Darebin",4,2016
"45","Bentleigh",3,9e+05,"PI","hockingstuart",2016-04-06,13,"3204",2,1,418,135,1925,-37.9172,145.0421,"Southern Metropolitan",6795,75,"14,926","Glen Eira",4,2016
"46","Bentleigh East",3,830000,"PI","Buxton",2016-04-06,13.9,"3165",2,2,292,141,2012,-37.9168,145.069,"Southern Metropolitan",10969,59,"25,928","Glen Eira",4,2016
"47","Brighton",3,1750000,"S","Buxton",2016-04-06,11.2,"3186",2,2,352,135,1997,-37.9139,145.0035,"Southern Metropolitan",10579,75,"21,267","Bayside",4,2016
"48","Bulleen",3,975000,"PI","Fletchers",2016-04-06,11.8,"3105",2,2,632,226,2013,-37.7813,145.102,"Eastern Metropolitan",4480,59,"10,848","Manningham",4,2016
"49","Carnegie",3,675000,"PI","Gary",2016-04-06,11.4,"3163",2,1,0,107,1990,-37.8972,145.0642,"Southern Metropolitan",7822,75,"16,333","Glen Eira",4,2016
"50","Ivanhoe",3,890000,"S","Nelson",2016-04-06,7.9,"3079",2,2,249,140,2005,-37.766,145.0345,"Eastern Metropolitan",5549,71,"11,038","Banyule",4,2016
"51","Kensington",2,650000,"S","Nelson",2016-04-06,4.2,"3031",1,1,79,100,2000,-37.7914,144.9344,"Northern Metropolitan",5263,82,"9,689","Melbourne",4,2016
"52","Maribyrnong",2,355000,"SP","Biggin",2016-04-06,8.7,"3032",1,1,0,88,2004,-37.7716,144.882,"Western Metropolitan",4918,70,"10,135","Maribyrnong",4,2016
"53","Murrumbeena",2,690000,"S","hockingstuart",2016-04-06,12.1,"3163",1,1,129,100,2000,-37.8927,145.0691,"Southern Metropolitan",4442,71,"8,573","Glen Eira",4,2016
"54","Murrumbeena",3,1160000,"S","hockingstuart",2016-04-06,12.1,"3163",2,2,302,172,2000,-37.9043,145.0622,"Southern Metropolitan",4442,71,"8,573","Glen Eira",4,2016
"55","Murrumbeena",3,1100000,"S","hockingstuart",2016-04-06,12.1,"3163",2,2,242,135,2005,-37.9017,145.0739,"Southern Metropolitan",4442,71,"8,573","Glen Eira",4,2016
"56","South Yarra",3,1460000,"PI","hockingstuart",2016-04-06,3.3,"3141",2,1,181,148,1990,-37.8334,144.9867,"Southern Metropolitan",14887,92,"19,186","Melbourne",4,2016
"57","Sunshine West",3,450000,"SP","Douglas",2016-04-06,13.5,"3020",3,1,344,178,2004,-37.7967,144.8083,"Western Metropolitan",6763,49,"16,759","Brimbank",4,2016
"58","Bentleigh East",3,920000,"S","Buxton",2016-04-16,13.9,"3165",2,1,343,135,2008,-37.9112,145.0738,"Southern Metropolitan",10969,59,"25,928","Glen Eira",4,2016
"59","Brighton East",3,940000,"S","hockingstuart",2016-04-16,10.7,"3187",2,3,0,135,2004,-37.9089,145.0246,"Southern Metropolitan",6938,63,"15,807","Bayside",4,2016
"60","Carnegie",2,855000,"S","Gary",2016-04-16,11.4,"3163",1,1,158,106,1994,-37.8886,145.052,"Southern Metropolitan",7822,75,"16,333","Glen Eira",4,2016
"61","Elsternwick",3,1071000,"S","Biggin",2016-04-16,8.5,"3185",2,2,179,125,2000,-37.8961,145.0125,"Southern Metropolitan",4898,83,"9,772","Glen Eira",4,2016
"62","Hadfield",3,510000,"PI","Raine",2016-04-16,12.1,"3046",2,2,234,115,2012,-37.707,144.9411,"Northern Metropolitan",2606,51,"5,355","Moreland",4,2016
"63","Ivanhoe",3,750000,"S","Barry",2016-04-16,7.9,"3079",1,1,110,135,1990,-37.765,145.0407,"Eastern Metropolitan",5549,71,"11,038","Banyule",4,2016
"64","Keilor East",3,705000,"S","Barry",2016-04-16,12.8,"3033",2,1,440,156,1995,-37.7517,144.8776,"Western Metropolitan",5629,55,"13,234","Moonee Valley",4,2016
"65","Kensington",2,812000,"SP","Rendina",2016-04-16,4.2,"3031",1,0,132,79,1887,-37.7989,144.9275,"Northern Metropolitan",5263,82,"9,689","Melbourne",4,2016
"66","Maribyrnong",2,570000,"S","Jas",2016-04-16,8.7,"3032",1,2,98,128,2009,-37.7677,144.8925,"Western Metropolitan",4918,70,"10,135","Maribyrnong",4,2016
"67","Maribyrnong",3,865000,"PI","Other",2016-04-16,8.7,"3032",2,2,151,3,2010,-37.7855,144.8958,"Western Metropolitan",4918,70,"10,135","Maribyrnong",4,2016
"68","Moorabbin",3,785000,"S","Ray",2016-04-16,14.6,"3189",2,2,169,135,2001,-37.9385,145.0397,"Southern Metropolitan",2555,71,"5,298","Kingston",4,2016
"69","Newport",3,735000,"S","Williams",2016-04-16,8.4,"3015",2,2,0,162,2007,-37.8436,144.8691,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",4,2016
"70","Port Melbourne",3,1565000,"S","Cayzer",2016-04-16,3.8,"3207",1,2,188,135,2012,-37.8371,144.9478,"Southern Metropolitan",8648,84,"14,520","Port Phillip",4,2016
"71","Reservoir",2,530000,"S","Nelson",2016-04-16,11.2,"3073",1,1,0,106,2007,-37.7141,145.0047,"Northern Metropolitan",21650,60,"47,517","Darebin",4,2016
"72","Richmond",3,911000,"S","Biggin",2016-04-16,2.6,"3121",2,1,0,110,2000,-37.8238,145.0072,"Northern Metropolitan",14949,90,"23,838","Yarra",4,2016
"73","South Kingsville",4,915000,"SP","Sweeney",2016-04-16,9.1,"3015",3,1,662,265,2016,-37.8307,144.8725,"Western Metropolitan",984,59,"1,829","Hobsons Bay",4,2016
"74","Thornbury",3,910500,"SP","hockingstuart",2016-04-16,6.5,"3071",2,2,157,144,2010,-37.759,144.988,"Northern Metropolitan",8870,77,"17,473","Darebin",4,2016
"75","Williamstown",3,935000,"SP","Sweeney",2016-04-16,8,"3016",2,1,233,194,2002,-37.8573,144.8911,"Western Metropolitan",6380,71,"13,183","Hobsons Bay",4,2016
"76","Yarraville",3,620000,"VB","Other",2016-04-16,7,"3013",3,1,0,141,2014,-37.8194,144.8826,"Western Metropolitan",6543,77,"13,811","Maribyrnong",4,2016
"77","Brunswick East",3,1010000,"S","Nelson",2016-04-23,4.5,"3057",2,1,0,133,2014,-37.774,144.9731,"Northern Metropolitan",5533,83,"8,502","Moreland",4,2016
"78","Carnegie",4,1100000,"S","hockingstuart",2016-04-23,11.4,"3163",3,2,305,188.5,1996,-37.8978,145.0506,"Southern Metropolitan",7822,75,"16,333","Glen Eira",4,2016
"79","Coburg North",2,570000,"S","Ray",2016-04-23,9.2,"3058",2,2,186,100,2009,-37.7263,144.9843,"Northern Metropolitan",3445,62,"6,574","Moreland",4,2016
"80","Heidelberg",2,6e+05,"S","Miles",2016-04-23,10.6,"3084",1,2,145,100,1970,-37.7515,145.0649,"Eastern Metropolitan",2890,64,"5,733","Banyule",4,2016
"81","Moonee Ponds",3,870000,"S","Nelson",2016-04-23,6.9,"3039",2,2,156,152,2000,-37.7631,144.9357,"Western Metropolitan",6232,75,"13,507","Moonee Valley",4,2016
"82","Murrumbeena",2,720000,"S","hockingstuart",2016-04-23,12.1,"3163",2,2,1318,100,2008,-37.8969,145.0654,"Southern Metropolitan",4442,71,"8,573","Glen Eira",4,2016
"83","Pascoe Vale",2,410000,"VB","Brad",2016-04-23,9.9,"3044",1,1,105,88,2014,-37.7233,144.9507,"Northern Metropolitan",7485,59,"14,871","Moreland",4,2016
"84","South Melbourne",3,1185000,"S","Other",2016-04-23,2.1,"3205",2,1,111,3,2004,-37.8341,144.9541,"Southern Metropolitan",5943,92,"9,318","Port Phillip",4,2016
"85","Watsonia",2,485000,"S","Stockdale",2016-04-23,14.9,"3087",1,1,184,100,2005,-37.7143,145.0781,"Northern Metropolitan",2329,69,"5,146","Banyule",4,2016
"86","Bentleigh East",3,805000,"S","hockingstuart",2016-05-14,13.9,"3165",2,1,268,117,2000,-37.9196,145.0691,"Southern Metropolitan",10969,59,"25,928","Glen Eira",5,2016
"87","Brighton",3,1962000,"S","Marshall",2016-05-14,11.2,"3186",2,2,323,135,1995,-37.9208,144.9996,"Southern Metropolitan",10579,75,"21,267","Bayside",5,2016
"88","Brunswick",3,641000,"SP","RW",2016-05-14,5.2,"3056",2,1,0,112,1900,-37.7703,144.9533,"Northern Metropolitan",11918,84,"22,739","Moreland",5,2016
"89","Carnegie",3,970000,"PI","Marshall",2016-05-14,11.4,"3163",2,2,325,223,2005,-37.8933,145.0546,"Southern Metropolitan",7822,75,"16,333","Glen Eira",5,2016
"90","Collingwood",3,897500,"S","Jellis",2016-05-14,1.6,"3066",2,1,82,82,1995,-37.7961,144.9873,"Northern Metropolitan",4553,92,"6,490","Yarra",5,2016
"91","Elwood",3,940000,"S","Chisholm",2016-05-14,7.7,"3184",1,1,0,135,2008,-37.8808,144.9893,"Southern Metropolitan",8989,84,"14,644","Port Phillip",5,2016
"92","Essendon",3,1e+06,"VB","Brad",2016-05-14,8,"3040",2,1,291,224,2013,-37.7499,144.8927,"Western Metropolitan",9264,71,"18,841","Moonee Valley",5,2016
"93","Glen Iris",1,345000,"PI","Jellis",2016-05-14,9.2,"3146",1,1,745,44,1970,-37.8505,145.0459,"Southern Metropolitan",10412,65,"24,992","Stonnington",5,2016
"94","Hampton East",3,1020000,"S","Buxton",2016-05-14,14.5,"3188",2,2,221,171,1998,-37.9355,145.0257,"Southern Metropolitan",2356,67,"4,403","Bayside",5,2016
"95","Kensington",2,770000,"S","Rendina",2016-05-14,4.2,"3031",2,1,0,100,2000,-37.7937,144.9169,"Northern Metropolitan",5263,82,"9,689","Melbourne",5,2016
"96","Malvern",3,1390000,"PI","Marshall",2016-05-14,7.4,"3144",2,1,227,181,1995,-37.8577,145.0406,"Southern Metropolitan",4675,80,"9,494","Stonnington",5,2016
"97","Maribyrnong",2,510000,"PI","Other",2016-05-14,8.7,"3032",2,1,176,142,2010,-37.7693,144.8905,"Western Metropolitan",4918,70,"10,135","Maribyrnong",5,2016
"98","Maribyrnong",2,470000,"S","Other",2016-05-14,8.7,"3032",2,1,0,100,2000,-37.7692,144.8905,"Western Metropolitan",4918,70,"10,135","Maribyrnong",5,2016
"99","Maribyrnong",2,479000,"S","Rendina",2016-05-14,8.7,"3032",2,1,0,100,2000,-37.7691,144.8905,"Western Metropolitan",4918,70,"10,135","Maribyrnong",5,2016
"100","Mont Albert",2,660000,"PI","Other",2016-05-14,11.8,"3127",2,1,146,100,2000,-37.8157,145.1101,"Eastern Metropolitan",2079,69,"4,961","Whitehorse",5,2016
"101","Preston",2,635000,"S","Nelson",2016-05-14,8.8,"3072",1,1,79,100,2007,-37.7484,145.0048,"Northern Metropolitan",14577,73,"29,893","Darebin",5,2016
"102","Richmond",2,930000,"S","Jellis",2016-05-14,2.6,"3121",1,1,97,85,2004,-37.814,145.002,"Northern Metropolitan",14949,90,"23,838","Yarra",5,2016
"103","Seddon",2,720000,"SP","Greg",2016-05-14,6.6,"3011",1,1,126,127,2011,-37.8045,144.8898,"Western Metropolitan",2417,80,"4,860","Maribyrnong",5,2016
"104","Altona",3,605100,"S","hockingstuart",2016-05-22,13.8,"3018",2,0,265,135,2008,-37.8583,144.8172,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",5,2016
"105","Brunswick",3,641000,"SP","RW",2016-05-22,5.2,"3056",2,1,0,112,1900,-37.7703,144.9533,"Northern Metropolitan",11918,84,"22,739","Moreland",5,2016
"106","Burwood",4,9e+05,"VB","Noel",2016-05-22,11.7,"3125",3,2,381,176,2013,-37.8459,145.1041,"Southern Metropolitan",5678,59,"13,172","Whitehorse",5,2016
"107","Collingwood",3,887500,"S","Peter",2016-05-22,1.6,"3066",2,1,81,82,2000,-37.7961,144.9874,"Northern Metropolitan",4553,92,"6,490","Yarra",5,2016
"108","Fawkner",3,538000,"S","Other",2016-05-22,12.4,"3060",2,2,217,135,2010,-37.7018,144.9679,"Northern Metropolitan",5070,56,"12,589","Moreland",5,2016
"109","Other",2,636500,"S","Gary",2016-05-22,10.4,"3163",1,1,0,68,1970,-37.8866,145.0396,"Southern Metropolitan",2403,76,"4,672","Glen Eira",5,2016
"110","Glenroy",2,420000,"SP","Stockdale",2016-05-22,13,"3046",1,1,307,100,2010,-37.7117,144.9348,"Northern Metropolitan",8870,54,"19,671","Moreland",5,2016
"111","Heidelberg",3,808000,"S","Miles",2016-05-22,10.6,"3084",2,2,255,135,1995,-37.7537,145.0637,"Eastern Metropolitan",2890,64,"5,733","Banyule",5,2016
"112","Keilor East",4,807000,"S","Brad",2016-05-22,12.8,"3033",2,2,319,188.5,2004,-37.7393,144.8648,"Western Metropolitan",5629,55,"13,234","Moonee Valley",5,2016
"113","Keilor Park",4,746000,"S","Barry",2016-05-22,14.5,"3042",3,1,308,174,1970,-37.7231,144.8602,"Western Metropolitan",1119,57,"2,546","Brimbank",5,2016
"114","Maribyrnong",3,675000,"SP","Other",2016-05-22,8.7,"3032",2,2,210,135,2000,-37.7732,144.879,"Western Metropolitan",4918,70,"10,135","Maribyrnong",5,2016
"115","Moonee Ponds",3,1345000,"SP","Barry",2016-05-22,6.9,"3039",2,1,310,287,1930,-37.7639,144.9126,"Western Metropolitan",6232,75,"13,507","Moonee Valley",5,2016
"116","Moonee Ponds",4,726000,"S","Nelson",2016-05-22,6.9,"3039",2,1,67,145,2000,-37.761,144.9262,"Western Metropolitan",6232,75,"13,507","Moonee Valley",5,2016
"117","Murrumbeena",3,860000,"SP","Buxton",2016-05-22,12.1,"3163",2,2,0,135,2013,-37.8939,145.0715,"Southern Metropolitan",4442,71,"8,573","Glen Eira",5,2016
"118","Pascoe Vale",2,550500,"S","Nelson",2016-05-22,9.9,"3044",1,2,135,100,2012,-37.7242,144.9411,"Northern Metropolitan",7485,59,"14,871","Moreland",5,2016
"119","Prahran",2,1540000,"S","Jellis",2016-05-22,4.5,"3181",2,1,113,104,1945,-37.8481,144.9869,"Southern Metropolitan",7717,87,"11,171","Stonnington",5,2016
"120","Reservoir",2,490000,"S","hockingstuart",2016-05-22,11.2,"3073",1,1,126,91,2013,-37.7186,145.0166,"Northern Metropolitan",21650,60,"47,517","Darebin",5,2016
"121","South Yarra",3,2010000,"VB","Kay",2016-05-22,3.3,"3141",2,1,163,207,2016,-37.8425,144.9877,"Southern Metropolitan",14887,92,"19,186","Stonnington",5,2016
"122","Balwyn",3,1100000,"S","hockingstuart",2016-05-28,9.7,"3103",2,1,259,135,1940,-37.8161,145.0809,"Southern Metropolitan",5682,72,"12,945","Boroondara",5,2016
"123","Bentleigh East",4,1120000,"PI","Buxton",2016-05-28,13.9,"3165",2,2,209,188.5,2008,-37.9213,145.0565,"Southern Metropolitan",10969,59,"25,928","Glen Eira",5,2016
"124","Bentleigh East",3,970000,"VB","hockingstuart",2016-05-28,13.9,"3165",2,2,321,135,2008,-37.9181,145.0586,"Southern Metropolitan",10969,59,"25,928","Glen Eira",5,2016
"125","Bentleigh East",3,787500,"S","Hodges",2016-05-28,13.9,"3165",2,1,300,135,2008,-37.9189,145.0584,"Southern Metropolitan",10969,59,"25,928","Glen Eira",5,2016
"126","Box Hill",3,822500,"S","Noel",2016-05-28,13.1,"3128",2,1,238,130,2000,-37.8154,145.1355,"Eastern Metropolitan",4605,72,"9,706","Whitehorse",5,2016
"127","Brighton",3,1425000,"S","Hodges",2016-05-28,11.2,"3186",2,2,495,135,1997,-37.9049,145.0069,"Southern Metropolitan",10579,75,"21,267","Bayside",5,2016
"128","Brighton East",3,1230000,"S","hockingstuart",2016-05-28,10.7,"3187",2,2,297,193,1980,-37.9124,145.0132,"Southern Metropolitan",6938,63,"15,807","Bayside",5,2016
"129","Brunswick East",2,771000,"SP","Nelson",2016-05-28,4.5,"3057",2,2,0,100,2000,-37.7736,144.9725,"Northern Metropolitan",5533,83,"8,502","Moreland",5,2016
"130","Brunswick West",2,598000,"S","Nelson",2016-05-28,5.9,"3055",1,1,69,100,2009,-37.766,144.9439,"Northern Metropolitan",7082,66,"13,171","Moreland",5,2016
"131","Canterbury",4,1742000,"S","Fletchers",2016-05-28,9,"3126",2,2,780,188.5,2005,-37.8206,145.0678,"Southern Metropolitan",3265,72,"7,856","Boroondara",5,2016
"132","Chadstone",3,845000,"S","Buxton",2016-05-28,13.6,"3148",2,1,177,111,2012,-37.8824,145.1042,"Southern Metropolitan",3582,66,"7,825","Monash",5,2016
"133","Coburg",3,810000,"S","Nelson",2016-05-28,7.8,"3058",2,1,213,131,2010,-37.7461,144.9584,"Northern Metropolitan",11204,71,"24,996","Moreland",5,2016
"134","Fitzroy North",3,775000,"S","Woodards",2016-05-28,3.5,"3068",2,2,0,135,2002,-37.7918,144.9824,"Northern Metropolitan",6244,93,"11,451","Yarra",5,2016
"135","Glenroy",3,440000,"SP","Nelson",2016-05-28,13,"3046",2,1,215,121,2010,-37.6952,144.9256,"Northern Metropolitan",8870,54,"19,671","Moreland",5,2016
"136","North Melbourne",3,1065000,"S","Alexkarbon",2016-05-28,2.3,"3051",2,1,64,135,2008,-37.7994,144.9521,"Northern Metropolitan",6821,87,"11,733","Melbourne",5,2016
"137","Sunshine",2,410000,"SP","Barry",2016-05-28,12.6,"3020",2,2,204,85,2008,-37.7982,144.823,"Western Metropolitan",3755,71,"8,849","Brimbank",5,2016
"138","Sunshine West",3,510000,"SP","Barry",2016-05-28,13.5,"3020",2,1,333,141,2012,-37.7912,144.8215,"Western Metropolitan",6763,49,"16,759","Brimbank",5,2016
"139","Yarraville",3,8e+05,"VB","Jas",2016-05-28,7,"3013",2,1,169,150,2007,-37.8122,144.8965,"Western Metropolitan",6543,77,"13,811","Maribyrnong",5,2016
"140","Balwyn North",3,1150000,"S","Other",2016-06-08,9.2,"3104",2,1,207,144,2003,-37.7893,145.092,"Southern Metropolitan",7809,61,"20,345","Boroondara",6,2016
"141","Bentleigh",4,1435000,"S","hockingstuart",2016-06-08,13,"3204",3,2,291,212,2012,-37.9278,145.0337,"Southern Metropolitan",6795,75,"14,926","Glen Eira",6,2016
"142","Bentleigh East",4,1210000,"S","hockingstuart",2016-06-08,13.9,"3165",3,2,291,222,2014,-37.9347,145.0546,"Southern Metropolitan",10969,59,"25,928","Glen Eira",6,2016
"143","Bentleigh East",4,1160000,"S","hockingstuart",2016-06-08,13.9,"3165",2,2,321,180,2006,-37.914,145.0714,"Southern Metropolitan",10969,59,"25,928","Glen Eira",6,2016
"144","Brighton East",3,870000,"S","hockingstuart",2016-06-08,10.7,"3187",2,2,158,135,2000,-37.9271,145.0281,"Southern Metropolitan",6938,63,"15,807","Bayside",6,2016
"145","Camberwell",3,1300000,"S","Fletchers",2016-06-08,7.8,"3124",2,2,342,135,1998,-37.8433,145.0695,"Southern Metropolitan",8920,66,"20,022","Boroondara",6,2016
"146","Essendon",4,1250000,"PI","Frank",2016-06-08,8,"3040",3,2,374,267,2015,-37.7507,144.8911,"Western Metropolitan",9264,71,"18,841","Moonee Valley",6,2016
"147","Footscray",2,480000,"PI","Jas",2016-06-08,6.4,"3011",1,1,556,75,2010,-37.7919,144.8854,"Western Metropolitan",7570,78,"13,203","Maribyrnong",6,2016
"148","Heidelberg",3,550000,"PI","hockingstuart",2016-06-08,10.6,"3084",1,2,235,123,1990,-37.7519,145.0696,"Eastern Metropolitan",2890,64,"5,733","Banyule",6,2016
"149","Heidelberg",2,705000,"S","Miles",2016-06-08,10.6,"3084",1,1,182,110,1973,-37.7587,145.0657,"Eastern Metropolitan",2890,64,"5,733","Banyule",6,2016
