"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"52","Fitzroy North",2,1116000,"S","Nelson",2016-03-09,3.5,"3068",1,0,152,96,1890,-37.791,144.9809,"Northern Metropolitan",6244,93,"11,451","Yarra",3,2016
"53","Fitzroy North",2,870000,"S","Nelson",2016-03-09,3.5,"3068",1,0,107,64,1910,-37.7898,144.9794,"Northern Metropolitan",6244,93,"11,451","Yarra",3,2016
"54","Fitzroy North",4,1450000,"VB","Nelson",2016-03-09,3.5,"3068",2,1,266,175,1950,-37.7797,144.9861,"Northern Metropolitan",6244,93,"11,451","Yarra",3,2016
"55","Flemington",2,865500,"S","Nelson",2016-03-09,4.4,"3031",1,1,168,96,1905,-37.7835,144.9339,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",3,2016
"56","Glen Iris",4,3400000,"VB","Kay",2016-03-09,9.2,"3146",3,2,856,265,1920,-37.8628,145.0436,"Southern Metropolitan",10412,65,"24,992","Stonnington",3,2016
"57","Glen Iris",3,1735000,"S","hockingstuart",2016-03-09,9.2,"3146",2,3,680,170,1935,-37.854,145.0832,"Southern Metropolitan",10412,65,"24,992","Boroondara",3,2016
"58","Glen Iris",2,1699000,"S","Jellis",2016-03-09,9.2,"3146",1,2,653,96,1940,-37.8573,145.077,"Southern Metropolitan",10412,65,"24,992","Boroondara",3,2016
"59","Glenroy",3,610000,"S","Ray",2016-03-09,13,"3046",1,2,696,118,1960,-37.6972,144.9431,"Northern Metropolitan",8870,54,"19,671","Moreland",3,2016
"60","Gowanbrae",3,631000,"S","Nelson",2016-03-09,13.6,"3043",2,2,608,138,2001,-37.709,144.8925,"Western Metropolitan",1071,47,"2,752","Moreland",3,2016
"61","Hadfield",3,685500,"SP","Brad",2016-03-09,12.1,"3046",1,2,724,103,1970,-37.7076,144.9481,"Northern Metropolitan",2606,51,"5,355","Moreland",3,2016
"62","Hadfield",3,605000,"PI","hockingstuart",2016-03-09,12.1,"3046",1,2,597,116,1960,-37.711,144.9478,"Northern Metropolitan",2606,51,"5,355","Moreland",3,2016
"63","Hampton",4,3250000,"S","hockingstuart",2016-03-09,13.7,"3188",3,2,928,300,1904,-37.9389,145.0062,"Southern Metropolitan",5454,69,"12,459","Bayside",3,2016
"64","Hawthorn",4,1650000,"PI","Jellis",2016-03-09,4.6,"3122",2,2,317,210,2005,-37.8344,145.0422,"Southern Metropolitan",11308,85,"21,138","Boroondara",3,2016
"65","Heidelberg Heights",2,815000,"SP","Fletchers",2016-03-09,10.5,"3081",1,2,589,120,1930,-37.7501,145.0505,"Eastern Metropolitan",2947,64,"6,410","Banyule",3,2016
"66","Heidelberg West",3,691000,"S","Haughton",2016-03-09,9.4,"3081",1,2,624,86,1965,-37.7456,145.0397,"Eastern Metropolitan",2674,68,"5,335","Banyule",3,2016
"67","Heidelberg West",5,765000,"S","Nelson",2016-03-09,9.4,"3081",2,2,415,260,1960,-37.7354,145.0381,"Eastern Metropolitan",2674,68,"5,335","Banyule",3,2016
"68","Hughesdale",2,1550000,"S","Woodards",2016-03-09,13,"3166",1,1,732,97,1950,-37.8931,145.0791,"Southern Metropolitan",3145,74,"7,062","Monash",3,2016
"69","Keilor East",3,650000,"SP","Barry",2016-03-09,12.8,"3033",1,1,538,104,1970,-37.7441,144.8503,"Western Metropolitan",5629,55,"13,234","Moonee Valley",3,2016
"70","Keilor East",3,703000,"S","Nelson",2016-03-09,12.8,"3033",2,2,683,200,1995,-37.7402,144.8591,"Western Metropolitan",5629,55,"13,234","Moonee Valley",3,2016
"71","Kensington",3,1037000,"S","Rendina",2016-03-09,4.2,"3031",1,1,188,106,1910,-37.7953,144.9275,"Northern Metropolitan",5263,82,"9,689","Melbourne",3,2016
"72","Kensington",3,785000,"S","Nelson",2016-03-09,4.2,"3031",1,1,258,64,1910,-37.7906,144.924,"Northern Metropolitan",5263,82,"9,689","Melbourne",3,2016
"73","Kensington",3,852000,"S","Nelson",2016-03-09,4.2,"3031",1,1,166,138,2000,-37.7929,144.9197,"Northern Metropolitan",5263,82,"9,689","Melbourne",3,2016
"74","Kew",2,4800000,"S","Jellis",2016-03-09,5.6,"3101",2,1,697,96,1940,-37.812,145.0547,"Southern Metropolitan",10331,71,"23,871","Boroondara",3,2016
"75","Kew",3,1635000,"S","Jellis",2016-03-09,5.6,"3101",1,2,396,130,1990,-37.8102,145.0451,"Southern Metropolitan",10331,71,"23,871","Boroondara",3,2016
"76","Kew East",4,2490000,"S","Marshall",2016-03-09,7.5,"3102",2,2,712,14,1940,-37.7936,145.0566,"Southern Metropolitan",2671,71,"6,026","Boroondara",3,2016
"77","Maidstone",3,715000,"S","Burnham",2016-03-09,9.2,"3012",1,1,576,128,1970,-37.7808,144.8678,"Western Metropolitan",3873,62,"7,768","Maribyrnong",3,2016
"78","Maidstone",3,670000,"S","Sweeney",2016-03-09,9.2,"3012",1,3,564,130,1955,-37.7832,144.8745,"Western Metropolitan",3873,62,"7,768","Maribyrnong",3,2016
"79","Maidstone",4,826000,"S","Rendina",2016-03-09,9.2,"3012",2,2,308,185,2012,-37.7833,144.8817,"Western Metropolitan",3873,62,"7,768","Maribyrnong",3,2016
"80","Malvern East",4,1675000,"PI","Thomson",2016-03-09,11.2,"3145",2,4,727,190,1930,-37.8779,145.0651,"Southern Metropolitan",8801,77,"20,028","Stonnington",3,2016
"81","Malvern East",3,1490000,"S","Marshall",2016-03-09,11.2,"3145",1,1,322,137,1910,-37.8726,145.0396,"Southern Metropolitan",8801,77,"20,028","Stonnington",3,2016
"82","Malvern East",3,1210000,"S","Marshall",2016-03-09,11.2,"3145",2,1,337,146,1993,-37.8833,145.0697,"Southern Metropolitan",8801,77,"20,028","Stonnington",3,2016
"83","Malvern East",4,1300000,"S","Other",2016-03-09,11.2,"3145",2,2,644,190,1930,-37.8747,145.0836,"Southern Metropolitan",8801,77,"20,028","Stonnington",3,2016
"84","Middle Park",3,2600000,"VB","Cayzer",2016-03-09,4.1,"3206",1,1,279,133,1900,-37.8499,144.957,"Southern Metropolitan",2019,80,"4,042","Port Phillip",3,2016
"85","Mont Albert",2,1320000,"SP","Other",2016-03-09,11.8,"3127",1,1,613,115,1950,-37.8238,145.1135,"Eastern Metropolitan",2079,69,"4,961","Whitehorse",3,2016
"86","Mont Albert",4,2850000,"S","Jellis",2016-03-09,11.8,"3127",2,2,1388,190,1938,-37.82,145.1118,"Eastern Metropolitan",2079,69,"4,961","Whitehorse",3,2016
"87","Moorabbin",3,1224000,"S","Buxton",2016-03-09,14.6,"3189",1,3,834,143,1960,-37.9376,145.0474,"Southern Metropolitan",2555,71,"5,298","Kingston",3,2016
"88","Moorabbin",3,1e+06,"S","O'Brien",2016-03-09,14.6,"3189",2,2,573,150,1970,-37.9428,145.044,"Southern Metropolitan",2555,71,"5,298","Kingston",3,2016
"89","Moorabbin",3,1020000,"S","Buxton",2016-03-09,14.6,"3189",1,3,771,130,1960,-37.9375,145.0474,"Southern Metropolitan",2555,71,"5,298","Kingston",3,2016
"90","Newport",3,826000,"S","Village",2016-03-09,8.4,"3015",1,2,281,100,1957,-37.8457,144.8651,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",3,2016
"91","Newport",3,1025000,"SP","Sweeney",2016-03-09,8.4,"3015",2,2,301,195,1940,-37.842,144.8902,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",3,2016
"92","Niddrie",3,780000,"PI","McDonald",2016-03-09,11.2,"3042",2,2,274,130,1955,-37.7353,144.8907,"Western Metropolitan",2291,61,"4,851","Moonee Valley",3,2016
"93","North Melbourne",3,1635000,"S","Nelson",2016-03-09,2.3,"3051",1,0,517,130,1910,-37.7967,144.9472,"Northern Metropolitan",6821,87,"11,733","Melbourne",3,2016
"94","North Melbourne",4,2920000,"S","Nelson",2016-03-09,2.3,"3051",3,4,310,276,1880,-37.7958,144.944,"Northern Metropolitan",6821,87,"11,733","Melbourne",3,2016
"95","Northcote",3,1200000,"S","Nelson",2016-03-09,5.5,"3070",1,1,215,125,1920,-37.7759,144.9909,"Northern Metropolitan",11364,82,"22,914","Darebin",3,2016
"96","Northcote",2,1286000,"S","McGrath",2016-03-09,5.5,"3070",1,1,245,108,1890,-37.7662,145.0096,"Northern Metropolitan",11364,82,"22,914","Darebin",3,2016
"97","Northcote",3,1382500,"SA","Nelson",2016-03-09,5.5,"3070",2,2,286,188,2007,-37.7708,145.0054,"Northern Metropolitan",11364,82,"22,914","Darebin",3,2016
"98","Northcote",4,1600000,"VB","Jellis",2016-03-09,5.5,"3070",2,1,464,179,1910,-37.7805,145.004,"Northern Metropolitan",11364,82,"22,914","Darebin",3,2016
"99","Oak Park",2,592000,"S","Barry",2016-03-09,11.5,"3046",1,2,577,96,1960,-37.7137,144.9167,"Northern Metropolitan",2651,55,"5,751","Moreland",3,2016
"100","Oak Park",3,892000,"S","Nelson",2016-03-09,11.5,"3046",1,3,757,130,1960,-37.718,144.9174,"Northern Metropolitan",2651,55,"5,751","Moreland",3,2016
"101","Parkville",4,1230000,"S","Nelson",2016-03-09,2.6,"3052",2,2,357,249,2009,-37.7767,144.9403,"Northern Metropolitan",2309,79,"6,193","Melbourne",3,2016
"102","Pascoe Vale",3,1120000,"S","Brad",2016-03-09,9.9,"3044",1,2,50,141,1950,-37.734,144.9416,"Northern Metropolitan",7485,59,"14,871","Moreland",3,2016
"103","Pascoe Vale",3,770000,"S","Nelson",2016-03-09,9.9,"3044",1,4,560,120,1960,-37.7156,144.9429,"Northern Metropolitan",7485,59,"14,871","Moreland",3,2016
"104","Prahran",2,950000,"PI","hockingstuart",2016-03-09,4.5,"3181",1,1,88,121,2000,-37.8503,144.9913,"Southern Metropolitan",7717,87,"11,171","Stonnington",3,2016
"105","Preston",3,1250000,"S","Harcourts",2016-03-09,8.8,"3072",1,2,644,141,1980,-37.7419,145.0049,"Northern Metropolitan",14577,73,"29,893","Darebin",3,2016
"106","Preston",3,930000,"SP","Barry",2016-03-09,8.8,"3072",1,2,518,130,1950,-37.7418,145.0095,"Northern Metropolitan",14577,73,"29,893","Darebin",3,2016
"107","Preston",4,9e+05,"S","Nelson",2016-03-09,8.8,"3072",2,1,530,190,1940,-37.7416,145.016,"Northern Metropolitan",14577,73,"29,893","Darebin",3,2016
"108","Preston",4,1004000,"S","Nelson",2016-03-09,8.8,"3072",0,0,650,190,1950,-37.7346,145.0226,"Northern Metropolitan",14577,73,"29,893","Darebin",3,2016
"109","Preston",4,930000,"S","Ray",2016-03-09,8.8,"3072",2,2,604,180,1920,-37.7369,144.9905,"Northern Metropolitan",14577,73,"29,893","Darebin",3,2016
"110","Preston",3,855000,"VB","Ray",2016-03-09,8.8,"3072",1,2,584,130,1950,-37.7332,145.0252,"Northern Metropolitan",14577,73,"29,893","Darebin",3,2016
"111","Richmond",3,1260000,"S","Biggin",2016-03-09,2.6,"3121",1,0,203,81,1900,-37.8166,144.9945,"Northern Metropolitan",14949,90,"23,838","Yarra",3,2016
"112","Richmond",2,937000,"S","Biggin",2016-03-09,2.6,"3121",1,1,125,103,1950,-37.8106,144.994,"Northern Metropolitan",14949,90,"23,838","Yarra",3,2016
"113","Rosanna",5,1101500,"S","Nelson",2016-03-09,11.4,"3084",2,1,629,207,1960,-37.7395,145.0773,"Eastern Metropolitan",3540,62,"7,892","Banyule",3,2016
"114","Seddon",3,1145000,"S","Burnham",2016-03-09,6.6,"3011",1,1,350,116,1890,-37.8094,144.8869,"Western Metropolitan",2417,80,"4,860","Maribyrnong",3,2016
"115","South Melbourne",3,1600000,"SP","Marshall",2016-03-09,2.1,"3205",2,1,88,93,1890,-37.8363,144.9628,"Southern Metropolitan",5943,92,"9,318","Port Phillip",3,2016
"116","Spotswood",3,1040000,"S","hockingstuart",2016-03-09,7.7,"3015",1,3,690,130,1950,-37.8272,144.8789,"Western Metropolitan",1223,66,"2,347","Hobsons Bay",3,2016
"117","Strathmore",4,1052000,"S","Considine",2016-03-09,9.7,"3041",2,2,699,190,1970,-37.7207,144.9073,"Western Metropolitan",3284,69,"8,101","Moonee Valley",3,2016
"118","Strathmore",3,905000,"S","Considine",2016-03-09,9.7,"3041",2,2,662,130,1970,-37.7356,144.9242,"Western Metropolitan",3284,69,"8,101","Moonee Valley",3,2016
"119","Sunshine North",4,716000,"S","Barry",2016-03-09,13.3,"3020",1,1,683,190,1960,-37.7694,144.8321,"Western Metropolitan",4217,56,"10,659","Brimbank",3,2016
"120","Sunshine West",3,496000,"S","Barry",2016-03-09,13.5,"3020",1,2,780,130,1970,-37.8004,144.8105,"Western Metropolitan",6763,49,"16,759","Brimbank",3,2016
"121","Surrey Hills",4,2128000,"S","Fletchers",2016-03-09,11.2,"3127",3,2,771,312,2000,-37.8239,145.0969,"Southern Metropolitan",5457,66,"13,143","Boroondara",3,2016
"122","Surrey Hills",5,2200000,"VB","RT",2016-03-09,11.2,"3127",3,2,735,235,1920,-37.8175,145.0987,"Southern Metropolitan",5457,66,"13,143","Boroondara",3,2016
"123","Surrey Hills",3,2009000,"S","Noel",2016-03-09,11.2,"3127",1,2,843,130,1930,-37.822,145.0897,"Southern Metropolitan",5457,66,"13,143","Boroondara",3,2016
"124","Surrey Hills",4,2440000,"S","Marshall",2016-03-09,11.2,"3127",3,2,596,264,1930,-37.8154,145.0927,"Southern Metropolitan",5457,66,"13,143","Boroondara",3,2016
"125","Templestowe Lower",4,1201000,"SP","Other",2016-03-09,13.8,"3107",2,2,657,221,1978,-37.7624,145.1175,"Eastern Metropolitan",5420,49,"13,206","Manningham",3,2016
"126","Templestowe Lower",3,1150000,"S","Ray",2016-03-09,13.8,"3107",2,2,649,130,1970,-37.7642,145.1157,"Eastern Metropolitan",5420,49,"13,206","Manningham",3,2016
"127","Viewbank",4,910000,"S","Miles",2016-03-09,13.8,"3084",2,2,626,190,1972,-37.735,145.0921,"Eastern Metropolitan",2698,39,"6,741","Banyule",3,2016
"128","Viewbank",3,960000,"S","Miles",2016-03-09,13.8,"3084",2,2,656,183,1990,-37.7322,145.0995,"Eastern Metropolitan",2698,39,"6,741","Banyule",3,2016
"129","Williamstown",3,1535000,"S","Greg",2016-03-09,8,"3016",1,1,507,186,1910,-37.8681,144.8994,"Western Metropolitan",6380,71,"13,183","Hobsons Bay",3,2016
"130","Williamstown",4,1400000,"S","Other",2016-03-09,8,"3016",2,1,320,160,1950,-37.8613,144.8988,"Western Metropolitan",6380,71,"13,183","Hobsons Bay",3,2016
"131","Williamstown",4,1325000,"S","hockingstuart",2016-03-09,8,"3016",2,1,452,190,1977,-37.855,144.8905,"Western Metropolitan",6380,71,"13,183","Hobsons Bay",3,2016
"132","Yallambie",4,7e+05,"S","Barry",2016-03-09,15,"Other",1,1,530,190,1978,-37.7251,145.1053,"Northern Metropolitan",1369,48,"4,133","Banyule",3,2016
"133","Yarraville",2,890000,"SP","Village",2016-03-09,7,"3013",1,2,471,103,1950,-37.8149,144.8707,"Western Metropolitan",6543,77,"13,811","Maribyrnong",3,2016
"134","Yarraville",3,1165000,"S","Village",2016-03-09,7,"3013",1,0,191,105,1910,-37.8175,144.8879,"Western Metropolitan",6543,77,"13,811","Maribyrnong",3,2016
"135","Yarraville",2,760000,"SP","Jas",2016-03-09,7,"3013",1,1,134,96,1940,-37.8176,144.8911,"Western Metropolitan",6543,77,"13,811","Maribyrnong",3,2016
"136","Yarraville",3,1e+06,"S","Jas",2016-03-09,7,"3013",2,1,448,147,1940,-37.8228,144.8799,"Western Metropolitan",6543,77,"13,811","Maribyrnong",3,2016
"137","Abbotsford",2,1480000,"S","Biggin",2016-03-12,2.5,"3067",1,1,202,96,1900,-37.7996,144.9984,"Northern Metropolitan",4019,84,"4,922","Yarra",3,2016
"138","Airport West",3,730000,"VB","Nelson",2016-03-12,13.5,"3042",2,1,0,145,1965,-37.7203,144.8755,"Western Metropolitan",3464,58,"6,954","Moonee Valley",3,2016
"139","Altona",5,1525000,"S","Greg",2016-03-12,13.8,"3018",3,3,729,268,2005,-37.8721,144.8105,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",3,2016
"140","Armadale",3,1939000,"S","Jellis",2016-03-12,6.3,"3143",2,2,296,150,1889,-37.8614,145.0274,"Southern Metropolitan",4836,74,"8,732","Stonnington",3,2016
"141","Ascot Vale",3,940000,"S","Nelson",2016-03-12,5.9,"3032",1,2,298,108,1920,-37.7777,144.9195,"Western Metropolitan",6567,75,"13,503","Moonee Valley",3,2016
"142","Ashburton",3,1670000,"S","Jellis",2016-03-12,11,"3147",2,2,599,220,1930,-37.8673,145.0688,"Southern Metropolitan",3052,68,"7,577","Boroondara",3,2016
"143","Ashwood",3,1250000,"S","Woodards",2016-03-12,12.2,"3147",1,1,842,130,1958,-37.867,145.1092,"Southern Metropolitan",2894,63,"6,091","Monash",3,2016
"144","Balwyn",2,1215000,"S","Jellis",2016-03-12,9.7,"3103",2,2,0,96,1970,-37.8134,145.0972,"Southern Metropolitan",5682,72,"12,945","Boroondara",3,2016
"145","Balwyn",4,2400000,"VB","RW",2016-03-12,9.7,"3103",2,2,744,226,1985,-37.8147,145.0748,"Southern Metropolitan",5682,72,"12,945","Boroondara",3,2016
"146","Balwyn",3,2200000,"S","Other",2016-03-12,9.7,"3103",3,2,651,266,1970,-37.8085,145.0764,"Southern Metropolitan",5682,72,"12,945","Boroondara",3,2016
"147","Balwyn North",3,2251000,"S","Marshall",2016-03-12,9.2,"3104",1,2,888,137,1950,-37.8002,145.0949,"Southern Metropolitan",7809,61,"20,345","Boroondara",3,2016
"148","Balwyn North",4,2205000,"PI","RW",2016-03-12,9.2,"3104",2,2,750,214,1950,-37.7906,145.0788,"Southern Metropolitan",7809,61,"20,345","Boroondara",3,2016
"149","Balwyn North",3,1265000,"S","hockingstuart",2016-03-12,9.2,"3104",2,1,347,160,2011,-37.7947,145.1035,"Southern Metropolitan",7809,61,"20,345","Boroondara",3,2016
"150","Balwyn North",4,1905000,"S","Noel",2016-03-12,9.2,"3104",2,2,647,185,1955,-37.7917,145.0868,"Southern Metropolitan",7809,61,"20,345","Boroondara",3,2016
